C7057|Disease, Disorder or Finding
C115121|Stage IIIC Esophageal Cancer
C5020|Stage III Esophageal Squamous Cell Carcinoma AJCC v7
C5021|Stage II Esophageal Squamous Cell Carcinoma AJCC v7
C5019|Stage IV Esophageal Squamous Cell Carcinoma AJCC v7
C5691|Stage IIA Esophageal Cancer
C5021|Stage II Esophageal Squamous Cell Carcinoma AJCC v7
C5692|Stage IIB Esophageal Cancer
C133415|Pathologic Stage IA Esophageal Adenocarcinoma AJCC v8
C133416|Pathologic Stage IB Esophageal Adenocarcinoma AJCC v8
C133417|Pathologic Stage IC Esophageal Adenocarcinoma AJCC v8
C133525|Pathologic Stage IA Esophageal Squamous Cell Carcinoma AJCC v8
C27940|Gastrointestinal Autonomic Nerve Tumor
C133530|Pathologic Stage IB Esophageal Squamous Cell Carcinoma AJCC v8
C95621|Esophageal Mixed Adenoneuroendocrine Carcinoma
C4440|Benign Gallbladder Neoplasm
C3599|Benign Gastric Neoplasm
C4609|Benign Intestinal Neoplasm
C3599|Benign Gastric Neoplasm
C9331|Malignant Gastric Neoplasm
C54094|Gastric Granular Cell Tumor
C127196|Growth Hormone and Prolactin Producing Neoplastic Cells Present
C43268|HMB-45-Positive Neoplastic Cells Present
C80278|High Phospho-AKT Immunohistochemical Expression
C88443|Bone Cancer Clinical TNM Finding v7
C88423|Bone Cancer Pathologic TNM Finding v7
C88466|Soft Tissue Sarcoma Clinical TNM Finding v7
C88450|Soft Tissue Sarcoma Pathologic TNM Finding v7
C132865|HPV-Mediated (p16-Positive) Oropharyngeal Cancer pT3 TNM Finding v8
C132866|HPV-Mediated (p16-Positive) Oropharyngeal Cancer pT4 TNM Finding v8
C132868|HPV-Mediated (p16-Positive) Oropharyngeal Cancer pNX TNM Finding v8
C132927|Hypopharyngeal Cancer pTX TNM Finding v8
C132932|Hypopharyngeal Cancer pT4 TNM Finding v8
C132928|Hypopharyngeal Cancer pTis TNM Finding v8
C132960|Hypopharyngeal Cancer pNX TNM Finding v8
C132974|Hypopharyngeal Cancer pN3 TNM Finding v8
C132972|Hypopharyngeal Cancer pN2c TNM Finding v8
C132968|Hypopharyngeal Cancer pN2a TNM Finding v8
C132970|Hypopharyngeal Cancer pN2b TNM Finding v8
C132652|Head and Neck Cancer pN3a TNM Finding v8
C132653|Head and Neck Cancer pN3b TNM Finding v8
C132741|Major Salivary Gland Cancer Clinical TNM Finding v8
C133154|Laryngeal Cancer pM1 TNM Finding v8
C133111|Glottic Cancer pT1 TNM Finding v8
C133114|Glottic Cancer pT2 TNM Finding v8
C133115|Glottic Cancer pT3 TNM Finding v8
C133142|Laryngeal Cancer pN1 TNM Finding v8
C133141|Laryngeal Cancer pN0 TNM Finding v8
C133143|Laryngeal Cancer pN2 TNM Finding v8
C132714|Lip and Oral Cavity Cancer cN2a TNM Finding v8
C132715|Lip and Oral Cavity Cancer cN2b TNM Finding v8
C132716|Lip and Oral Cavity Cancer cN2c TNM Finding v8
C132718|Lip and Oral Cavity Cancer cN3a TNM Finding v8
C132719|Lip and Oral Cavity Cancer cN3b TNM Finding v8
C89159|Thyroid Cancer cM0 TNM Finding v7
C89160|Thyroid Cancer cM1 TNM Finding v7
C133169|Mucosal Melanoma of the Head and Neck Clinical TNM Finding v8
C89155|Thyroid Cancer pN1b TNM Finding v7
C50598|Iatrogenic Source
C89148|Thyroid Cancer pT1a TNM Finding v7
C89149|Thyroid Cancer pT1b TNM Finding v7
C89150|Thyroid Cancer pT4a TNM Finding v7
C27568|Non-Neoplastic Parathyroid Gland Disorder
C27659|Non-Neoplastic Laryngeal Disorder
C27661|Non-Neoplastic Pharyngeal Disorder
C27339|Infectious Otitis Interna
C79601|Otitis Externa
C116366|Hyperacusis
C50576|Hearing Impairment
C128320|Infection
C34479|Chronic Rhinitis
C78599|Infectious Rhinitis
C79532|Allergic Rhinitis
C128411|Acute Sinusitis
C34597|Ethmoidal Sinusitis
C35151|Chronic Sinusitis
C34632|Gastroenteritis
C27340|Bacterial Gastritis
C39293|Helicobacter Pylori Infection
C35579|Acute Acalculous Cholecystitis
C27184|Viral Gastritis
C84790|Intestinal Atresia
C98961|Intestinal Malrotation
C98960|Intestinal Duplication
C78313|Gastric Mucositis
C78644|Tracheal Mucositis
C101040|Total Colonic Aganglionosis
C78409|Large Intestinal Mucositis
C78613|Small Intestinal Mucositis
C78255|Device-Related Infection
C26723|Colitis
C113481|Infantile Colic
C128326|Intra-abdominal Abscess
C78593|Renal Colic
C34734|Intracranial Abscess
C98815|Antithrombin III Deficiency
C101333|Coagulation Disorder Related to Liver Dysfunction
C115221|Bleeding Diathesis
C99089|Liver Abscess
C98957|Cutaneous Fistula
C78266|Enterovesical Fistula
C34351|Cervicofacial Actinomycotic Infection
C131649|Pyrimidine-5'-Nucleotidase Deficiency
C99029|Pulmonary Arteriovenous Fistula
C34349|Actinomycetoma
C26704|Bacterial Pneumonia
C97167|Anemia of Prematurity
C27203|Bacterial Prostatitis
C35227|Acquired Hallux Valgus
C35324|Congenital Hallux Valgus
C26978|Acute Lymphadenitis
C131630|Anemia due to Erythrocyte Enzyme Disorder
C27333|Axillary Lymphadenitis
C26937|Cervical Lymphadenitis
C55975|CTCAE Grade 4 Platelets
C55252|CTCAE Grade 1 Partial Thromboplastin Time
C55258|CTCAE Grade 2 Partial Thromboplastin Time
C55263|CTCAE Grade 3 Partial Thromboplastin Time
C55988|CTCAE Grade 5 Platelets
C104813|Branchial Cleft Remnant
C124506|Cebocephaly
C124505|Caudal Dysplasia
C97168|Ataxic Cerebral Palsy
C116906|Hypotonic Cerebral Palsy
C97169|Athetoid Cerebral Palsy
C84719|Frontotemporal Dementia
C2866|Alzheimer's Disease
C34527|Demyelinating Disorder
C84826|Lewy Body Dementia
C55253|CTCAE Grade 1 Thrombotic Microangiopathy
C55264|CTCAE Grade 3 Thrombotic Microangiopathy
C55268|CTCAE Grade 4 Thrombotic Microangiopathy
C54827|CTCAE Grade 2 Sinus Tachycardia
C54796|CTCAE Grade 1 Sinus Tachycardia
C54858|CTCAE Grade 3 Sinus Tachycardia
C55265|CTCAE Grade 4 Other Coagulation
C55269|CTCAE Grade 5 Other Coagulation
C54829|CTCAE Grade 2 Supraventricular Arrhythmia NOS
C55999|Splenic Function Adverse Event
C54860|CTCAE Grade 3 Supraventricular Arrhythmia NOS
C54798|CTCAE Grade 1 Supraventricular Arrhythmia NOS
C54879|CTCAE Grade 4 Bigeminy
C54799|CTCAE Grade 1 Supraventricular Extrasystoles
C54830|CTCAE Grade 2 Supraventricular Extrasystoles
C54910|CTCAE Grade 5 Bigeminy
C54861|CTCAE Grade 3 Supraventricular Extrasystoles
C54885|CTCAE Grade 4 PVCs
C54882|CTCAE Grade 4 Idioventricular Rhythm
C54913|CTCAE Grade 5 Idioventricular Rhythm
C54916|CTCAE Grade 5 PVCs
C40330|Vulvar Congenital Melanocytic Nevus
C8106|Ovarian Dysgerminoma
C7328|Testicular Seminoma
C40330|Vulvar Congenital Melanocytic Nevus
C9498|Melanocytoma
C40240|Cervical Blue Nevus
C4497|Desmoplastic Nevus
C40281|Benign Vaginal Melanocytic Nevus
C4497|Desmoplastic Nevus
C4240|Melanoma Arising from Blue Nevus
C128289|Vulvar Melanocytic Nevus
C8783|Stage III Acral Lentiginous Melanoma
C8782|Stage II Acral Lentiginous Melanoma
C8784|Stage IV Acral Lentiginous Melanoma
C40282|Vaginal Blue Nevus
C40282|Vaginal Blue Nevus
C90514|Cutaneous Melanoma by AJCC v6 Stage
C40332|Vulvar Blue Nevus
C40332|Vulvar Blue Nevus
C7602|Halo Nevus
C7602|Halo Nevus
C6447|Retroperitoneal Germ Cell Tumor
C6812|Mediastinal Seminoma
C6440|Mediastinal Choriocarcinoma
C6845|Oral Cavity Monomorphic Adenoma
C6441|Mediastinal Embryonal Carcinoma
C45733|Mediastinal Malignant Germ Cell Tumor with Associated Hematologic Malignancy
C6242|Oral Cavity Pleomorphic Adenoma
C115427|Recurrent Malignant Extragonadal Non-Seminomatous Germ Cell Tumor
C6386|Scrotal Basal Cell Carcinoma
C6441|Mediastinal Embryonal Carcinoma
C6440|Mediastinal Choriocarcinoma
C45733|Mediastinal Malignant Germ Cell Tumor with Associated Hematologic Malignancy
C38110|Skin Signet Ring Cell Basal Cell Carcinoma
C115427|Recurrent Malignant Extragonadal Non-Seminomatous Germ Cell Tumor
C6441|Mediastinal Embryonal Carcinoma
C66903|Skin Metatypical Carcinoma
C82430|Acute Myeloid Leukemia with Gene Mutations
C27753|Acute Myeloid Leukemia Not Otherwise Specified
C7600|Acute Myeloid Leukemia with Myelodysplasia-Related Changes
C4925|Malignant Germ Cell Tumor
C82397|Therapy-Related Myelodysplastic/Myeloproliferative Neoplasm
C9471|Childhood Systemic Anaplastic Large Cell Lymphoma
C27913|Alkylating Agent-Related Acute Myeloid Leukemia and Myelodysplastic Syndrome
C115357|Recurrent Childhood Anaplastic Large Cell Lymphoma
C115031|Stage III Childhood Anaplastic Large Cell Lymphoma
C8252|Therapy-Related Acute Myeloid Leukemia
C82397|Therapy-Related Myelodysplastic/Myeloproliferative Neoplasm
C80299|Pediatric Nodal Marginal Zone Lymphoma
C79951|Papillary Adenoma
C36060|Chronic Myelomonocytic Leukemia with Eosinophilia
C115369|Recurrent Childhood Non-Hodgkin Lymphoma
C5338|Duodenal Villous Adenoma
C43551|Small Intestinal Villous Adenoma
C4919|Rectal Villous Adenoma
C4983|Aleukemic Leukemia Cutis
C5546|Rectal Adenoma
C5631|Aleukemic Acute Lymphoblastic Leukemia Cutis
C45241|Cutaneous B Lymphoblastic Leukemia/Lymphoma
C45242|Cutaneous T Lymphoblastic Leukemia/Lymphoma
C27260|Dendritic Cell Tumor, Not Otherwise Specified
C81758|Fibroblastic Reticular Cell Tumor
C9281|Follicular Dendritic Cell Sarcoma
C40116|Fallopian Tube Metaplastic Papillary Tumor
C45339|Primary Cutaneous CD8-Positive Aggressive Epidermotropic T-Cell Lymphoma
C45340|Primary Cutaneous Gamma-Delta T-Cell Lymphoma
C45366|Primary Cutaneous CD4-Positive Small/Medium-Sized T-Cell Lymphoma
C4172|Syringocystadenoma Papilliferum
C27253|Metanephric Adenoma
C7563|Hidradenoma
C4170|Spiradenoma
C5095|Recurrent Splenic Marginal Zone Lymphoma
C3760|Hidrocystoma
C5096|Refractory Splenic Marginal Zone Lymphoma
C7485|Malignant Lip Neoplasm
C9262|Recurrent Malignant Oral Neoplasm
C9314|Malignant Oral Cavity Neoplasm
C4171|Papillary Hidradenoma
C5972|Subglottic Carcinoma
C118811|Childhood Laryngeal Carcinoma
C4923|Glottis Carcinoma
C4923|Glottis Carcinoma
C9462|Laryngeal Adenoid Cystic Carcinoma
C7510|Malignant Thyroid Gland Neoplasm
C9323|Malignant Postcricoid Neoplasm
C9465|Hypopharyngeal Cancer
C3531|Malignant Pyriform Fossa Neoplasm
C6030|Metastatic Malignant Neoplasm in the Nasopharynx
C9268|Recurrent Malignant Nasopharyngeal Neoplasm
C3529|Malignant Soft Palate Neoplasm
C7404|Malignant Tonsillar Neoplasm
C4833|Oral Cavity Squamous Cell Carcinoma
C3871|Nasopharyngeal Cancer
C6029|Metastatic Malignant Neoplasm in the Oropharynx
C115442|Recurrent Lip and Oral Cavity Squamous Cell Cancer
C115060|Stage IV Lip and Oral Cavity Squamous Cell Cancer
C35506|Throat Cancer
C8189|Glottis Verrucous Carcinoma
C54336|Laryngeal Squamous Cell Carcinoma, Spindle Cell Variant
C4815|Thyroid Gland Cancer
C6137|Stage IVA Nasopharyngeal Keratinizing Squamous Cell Carcinoma AJCC v7
C8188|Laryngeal Verrucous Cancer
C6138|Stage IVB Nasopharyngeal Keratinizing Squamous Cell Carcinoma AJCC v7
C6236|Stage IVC Nasopharyngeal Keratinizing Squamous Cell Carcinoma AJCC v7
C115057|Stage I Lip and Oral Cavity Squamous Cell Cancer
C5883|Stage I Oral Cavity Cancer AJCC v6 and v7
C115060|Stage IV Lip and Oral Cavity Squamous Cell Cancer
C4886|Benign Pyriform Fossa Neoplasm
C8990|Oral Cavity Carcinoma
C5886|Stage IV Oral Cavity Cancer AJCC v6 and v7
C4606|Benign Epiglottis Neoplasm
C5988|Oropharyngeal Polyp
C3594|Benign Tonsillar Neoplasm
C6034|Nasopharyngeal Polyp
C4933|Epiglottis Neoplasm
C3545|Malignant Supraglottis Neoplasm
C3325|Pharyngeal Neoplasm
C41842|Gliomatosis Cerebri Type I
C114969|Childhood Gliomatosis Cerebri
C41843|Gliomatosis Cerebri Type II
C6773|Childhood Infratentorial Embryonal Tumor with Multilayered Rosettes, C19MC-Altered
C5148|Infratentorial Glioblastoma
C4954|Malignant Primary Brain Neoplasm
C3570|Malignant Brain Stem Neoplasm
C4040|Buccal Mucosa Squamous Cell Carcinoma
C6060|Recurrent Oral Cavity Squamous Cell Carcinoma
C4041|Floor of Mouth Squamous Cell Carcinoma
C129857|Gingival Squamous Cell Carcinoma
C111692|Proneural Glioblastoma
C6056|Stage IV Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7
C5150|Cerebellar Glioblastoma
C5151|Cerebral Glioblastoma
C5097|Brain Stem Glioblastoma
C132902|MGMT-Unmethylated Glioblastoma
C5129|Diencephalic Glioblastoma
C115359|Recurrent Childhood Anaplastic Oligodendroglioma
C114836|Recurrent Childhood Central Nervous System Embryonal Neoplasm
C6773|Childhood Infratentorial Embryonal Tumor with Multilayered Rosettes, C19MC-Altered
C6772|Childhood Supratentorial Embryonal Tumor with Multilayered Rosettes, C19MC-Altered
C6774|Recurrent Childhood Medulloblastoma
C36304|Lung Carcinoma Metastatic in the Brain
C3814|Metastatic Malignant Neoplasm to the Leptomeninges
C3222|Medulloblastoma
C5439|Drop Metastasis in the Spinal Cord
C6842|Frontal Sinus Inverted Papilloma
C4327|Medulloepithelioma
C6843|Ethmoid Sinus Inverted Papilloma
C6843|Ethmoid Sinus Inverted Papilloma
C6842|Frontal Sinus Inverted Papilloma
C6840|Maxillary Sinus Inverted Papilloma
C116316|Intestinal Type Sinonasal Adenocarcinoma
C90528|Nasal Cavity and Paranasal Sinus Cancer by AJCC v6 Stage
C91255|Nasal Cavity and Paranasal Sinus Cancer by AJCC v7 Stage
C3222|Medulloblastoma
C6841|Sphenoid Sinus Inverted Papilloma
C6838|Sphenoid Sinus Schneiderian Papilloma
C4047|Pilocytic Astrocytoma
C4327|Medulloepithelioma
C6772|Childhood Supratentorial Embryonal Tumor with Multilayered Rosettes, C19MC-Altered
C3696|Subependymal Giant Cell Astrocytoma
C6773|Childhood Infratentorial Embryonal Tumor with Multilayered Rosettes, C19MC-Altered
C6774|Recurrent Childhood Medulloblastoma
C6774|Recurrent Childhood Medulloblastoma
C7140|PRETEXT Stage 2 Hepatoblastoma
C7141|PRETEXT Stage 3 Hepatoblastoma
C7142|PRETEXT Stage 4 Hepatoblastoma
C114971|Childhood Pleomorphic Xanthoastrocytoma
C114785|Childhood Subependymal Giant Cell Astrocytoma
C27295|Recurrent Primitive Neuroectodermal Tumor
C7835|Localized Resectable Neuroblastoma
C8277|Localized Unresectable Neuroblastoma
C3790|Ganglioneuroblastoma
C3049|Ganglioneuroma
C7534|Childhood Visual Pathway Astrocytoma
C9376|Adult Brain Oligodendroglioma
C3270|Neuroblastoma
C4323|Pleomorphic Xanthoastrocytoma
C9371|Adult Brain Stem Mixed Glioma
C71024|Adult Spinal Cord Neoplasm
C4641|Spinal Cord Astrocytoma
C9373|Adult Brain Medulloblastoma
C3696|Subependymal Giant Cell Astrocytoma
C27368|Childhood Liver and Intrahepatic Bile Duct Neoplasm
C5120|Vestibulocochlear Nerve Neoplasm
C9371|Adult Brain Stem Mixed Glioma
C131592|Cerebellar, Brain Stem, and Cervical Spinal Cord Ependymal Tumor
C131613|Infratentorial and Spinal Cord Ependymal Tumor
C131601|Cervical Spinal Cord Ependymal Tumor
C131609|Cervical, Thoracic, and Lumbosacral Spinal Cord Ependymal Tumor
C131608|Cervical and Lumbosacral Spinal Cord Ependymal Tumor
C5098|Brain Stem Ependymoma
C131576|Cerebellar Ependymal Tumor
C131586|Cerebellar, Fourth Ventricle, and Brain Stem Ependymal Tumor
C6268|Childhood Cerebral Ependymoma
C114969|Childhood Gliomatosis Cerebri
C5802|Childhood Infratentorial Neoplasm
C94793|Stage III Childhood Non-Hodgkin Lymphoma
C5960|Childhood Supratentorial Neoplasm
C118721|Posterior Vitreous Detatchment
C8264|Childhood Meningioma
C115030|Stage II Childhood Anaplastic Large Cell Lymphoma
C115032|Stage IV Childhood Anaplastic Large Cell Lymphoma
C115029|Stage I Childhood Anaplastic Large Cell Lymphoma
C26908|Uveal Disorder
C26942|Thyroid Gland Atrophy
C45256|Vitreous Body Disorder
C94792|Stage II Childhood Non-Hodgkin Lymphoma
C131078|Wolff-Chaikoff Phenomenon
C26894|Thyroiditis
C3812|Carcinoma of Unknown Primary Origin
C7708|Childhood Malignant Liver Neoplasm
C2964|Craniopharyngioma
C131819|Iatrogenic Primary Hypothyroidism
C5679|Colorectal Polyp
C3909|Gallbladder Polyp
C3954|Gastric Polyp
C87787|Stage IIIA Esophageal Squamous Cell Carcinoma AJCC v7
C87788|Stage IIIB Esophageal Squamous Cell Carcinoma AJCC v7
C87789|Stage IIIC Esophageal Squamous Cell Carcinoma AJCC v7
C87787|Stage IIIA Esophageal Squamous Cell Carcinoma AJCC v7
C87788|Stage IIIB Esophageal Squamous Cell Carcinoma AJCC v7
C87789|Stage IIIC Esophageal Squamous Cell Carcinoma AJCC v7
C6738|Stage IIA Esophageal Squamous Cell Carcinoma AJCC v7
C6737|Stage IIB Esophageal Squamous Cell Carcinoma AJCC v7
C6738|Stage IIA Esophageal Squamous Cell Carcinoma AJCC v7
C5022|Stage I Esophageal Squamous Cell Carcinoma AJCC v7
C6738|Stage IIA Esophageal Squamous Cell Carcinoma AJCC v7
C6737|Stage IIB Esophageal Squamous Cell Carcinoma AJCC v7
C6737|Stage IIB Esophageal Squamous Cell Carcinoma AJCC v7
C5343|Esophageal Mucoepidermoid Carcinoma
C8614|Hepatobiliary Neoplasm
C7129|Benign Non-Epithelial Gallbladder Neoplasm
C5483|Benign Gastric Granular Cell Tumor
C4024|Esophageal Squamous Cell Cancer
C95901|Gastric Schwannoma
C4610|Benign Colorectal Neoplasm
C3600|Benign Small Intestinal Neoplasm
C5483|Benign Gastric Granular Cell Tumor
C95901|Gastric Schwannoma
C4636|Gastric Lymphoma
C5484|Malignant Gastric Granular Cell Tumor
C5483|Benign Gastric Granular Cell Tumor
C5484|Malignant Gastric Granular Cell Tumor
C4911|Gastric Cancer
C54560|Human Chorionic Gonadotropin Positive Neoplastic Cells Present
C73941|Human Herpesvirus-8-Positive Neoplastic Cells Present
C80277|Low Phospho-AKT Immunohistochemical Expression
C88444|Bone Cancer Clinical Distant Metastasis TNM Finding v7
C88438|Bone Cancer Pathologic Distant Metastasis TNM Finding v7
C88424|Bone Cancer Pathologic Primary Tumor TNM Finding v7
C88431|Bone Cancer Pathologic Regional Lymph Nodes TNM Finding v7
C88467|Soft Tissue Sarcoma Clinical Distant Metastasis TNM Finding v7
C88464|Soft Tissue Sarcoma Pathologic Distant Metastasis TNM Finding v7
C88451|Soft Tissue Sarcoma Pathologic Primary Tumor TNM Finding v7
C88460|Soft Tissue Sarcoma Pathologic Regional Lymph Nodes TNM Finding v7
C132933|Hypopharyngeal Cancer pT4a TNM Finding v8
C132934|Hypopharyngeal Cancer pT4b TNM Finding v8
C132690|Lip and Oral Cavity Cancer Pathologic TNM Finding v8
C132978|Hypopharyngeal Cancer pN3b TNM Finding v8
C132976|Hypopharyngeal Cancer pN3a TNM Finding v8
C132742|Major Salivary Gland Cancer Pathologic TNM Finding v8
C132772|Major Salivary Gland Cancer Clinical Distant Metastasis TNM Finding v8
C132764|Major Salivary Gland Cancer Clinical Regional Lymph Nodes TNM Finding v8
C133112|Glottic Cancer pT1a TNM Finding v8
C133119|Subglottic Cancer Pathologic Primary Tumor TNM Finding v8
C133113|Glottic Cancer pT1b TNM Finding v8
C133116|Glottic Cancer pT4 TNM Finding v8
C133109|Glottic Cancer pTX TNM Finding v8
C133147|Laryngeal Cancer pN3 TNM Finding v8
C133140|Laryngeal Cancer pNX TNM Finding v8
C133144|Laryngeal Cancer pN2a TNM Finding v8
C133145|Laryngeal Cancer pN2b TNM Finding v8
C133146|Laryngeal Cancer pN2c TNM Finding v8
C133170|Mucosal Melanoma of the Head and Neck Clinical Distant Metastasis TNM Finding v8
C133025|Nasal Cavity and Paranasal Sinuses Cancer Clinical TNM Finding v8
C78362|Infusion Site Extravasation
C89151|Thyroid Cancer pT4a Anaplastic Carcinoma TNM Finding v7
C27346|Parathyroid Gland Abscess
C89152|Thyroid Cancer pT4b TNM Finding v7
C101279|Laryngeal Agenesis
C98622|Larnygeotracheoesophageal Cleft
C98970|Laryngeal Web
C116007|Epiglottitis
C27654|Non-Neoplastic Inner Ear Disorder
C26851|Pharyngitis
C35731|Hearing Loss
C50667|Neonatal Hearing Impairment
C34988|Vasomotor Rhinitis
C34987|Atopic Rhinitis
C92189|Perennial Allergic Rhinitis
C92188|Seasonal Allergic Rhinitis
C34472|Chronic Ethmoidal Sinusitis
C34626|Frontal Sinusitis
C34472|Chronic Ethmoidal Sinusitis
C3671|Injury
C34473|Chronic Frontal Sinusitis
C34477|Chronic Maxillary Sinusitis
C35330|Eosinophilic Gastroenteritis
C35483|Bacterial Gastroenteritis
C35374|Viral Gastroenteritis
C27217|Cytomegaloviral Gastritis
C27341|Herpetic Gastritis
C78339|Hepatic Infection
C98827|Large Intestine Atresia
C98828|Small Intestine Atresia
C98975|Low Anorectal Malformation
C98987|Microcolon
C78244|Colonic Ulcer
C26887|Stomatitis
C78584|Rectal Mucositis
C78232|Catheter-Related Infection
C35608|Aggravated Colitis
C78358|Implant Infection
C128347|Antibiotic-Associated Colitis
C82954|Chronic Active Colitis
C99090|Lung Abscess
C27030|Cerebral Abscess
C5680|Colorectal Inflammatory Polyp
C131658|Consumptive Coagulopathy
C27215|Coagulation Factor Deficiency
C103172|Congenital Bleeding Disorder
C99091|Lymph Node Abscess
C78298|Female Genital Tract Fistula
C78319|Digestive System Fistula
C2870|Aplastic Anemia
C9489|Genitourinary Fistula
C84586|Bartonella Infection
C128338|Atypical Pneumonia
C128339|Legionella Pneumonia
C122526|Mycoplasmal Pneumonia
C92956|Chronic Bacterial Prostatitis
C34380|Hypochromic Anemia
C92957|Acute Bacterial Prostatitis
C131638|Bisphosphoglycerate Mutase Deficiency
C131640|Erythrocyte Adenylate Kinase Deficiency
